Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
14.02.;aufsteigend;2;21;22;27;34;37;ZZ;25;6er;               1;à;       3.121.348,40;5er + ZZ;JP;;         136.540,40;5er;              91;à;           1.556,00;4er + ZZ;             249;à;             182,70;
14.02.;;;;;;;;;;4er;           4.619;à;              57,40;3er + ZZ;           6.150;à;              18,50;3er;          80.951;à;               5,60;ZZ;         239.963;à;               1,30;
18.02.;aufsteigend;13;18;23;29;30;42;ZZ;19;6er;               1;à;       1.000.000,00;5er + ZZ;               6;à;          39.655,80;5er;              78;à;           1.348,00;4er + ZZ;             192;à;             176,00;
18.02.;;;;;;;;;;4er;           3.433;à;              57,40;3er + ZZ;           5.148;à;              16,40;3er;          56.849;à;               5,90;ZZ;         192.937;à;               1,30;
21.02.;aufsteigend;7;8;21;23;26;40;ZZ;30;6er;JP;;         639.945,40;5er + ZZ;               1;à;          86.392,60;5er;              65;à;           1.378,30;4er + ZZ;             193;à;             149,20;
21.02.;;;;;;;;;;4er;           3.502;à;              47,90;3er + ZZ;           4.634;à;              15,50;3er;          56.029;à;               5,10;ZZ;         142.521;à;               1,30;
25.02.;aufsteigend;3;8;10;14;29;35;ZZ;45;6er;DJP;;       1.533.118,60;5er + ZZ;               3;à;          40.192,70;5er;              96;à;           1.302,50;4er + ZZ;             230;à;             174,70;
25.02.;;;;;;;;;;4er;           4.744;à;              49,40;3er + ZZ;           5.763;à;              17,40;3er;          77.306;à;               5,20;ZZ;         204.720;à;               1,30;
28.02.;aufsteigend;10;22;24;28;34;43;ZZ;42;6er;               1;à;       2.415.635,80;5er + ZZ;               4;à;          29.784,90;5er;              80;à;           1.544,40;4er + ZZ;             225;à;             176,50;
28.02.;;;;;;;;;;4er;           4.738;à;              48,80;3er + ZZ;           5.489;à;              18,00;3er;          69.885;à;               5,70;ZZ;         197.598;à;               1,30;
03.03.;aufsteigend;3;11;14;25;33;39;ZZ;17;6er;JP;;         751.347,80;5er + ZZ;               1;à;         101.431,90;5er;              93;à;           1.131,00;4er + ZZ;             261;à;             129,50;
03.03.;;;;;;;;;;4er;           4.140;à;              47,60;3er + ZZ;           6.236;à;              13,50;3er;          64.095;à;               5,30;ZZ;         185.203;à;               1,30;
06.03.;aufsteigend;3;13;19;21;23;44;ZZ;24;6er;DJP;;       1.529.607,10;5er + ZZ;               1;à;         105.065,00;5er;              90;à;           1.210,60;4er + ZZ;             223;à;             157,00;
06.03.;;;;;;;;;;4er;           4.369;à;              46,70;3er + ZZ;           5.397;à;              16,20;3er;          68.138;à;               5,10;ZZ;         184.620;à;               1,30;
08.03.;aufsteigend;6;14;18;22;28;37;ZZ;33;6er;3JP;;       2.280.898,90;5er + ZZ;               5;à;          20.284,80;5er;              68;à;           1.546,70;4er + ZZ;             191;à;             177,00;
08.03.;;;;;;;;;;4er;           3.527;à;              55,90;3er + ZZ;           4.907;à;              17,20;3er;          59.196;à;               5,70;ZZ;         183.650;à;               1,30;
10.03.;aufsteigend;7;13;17;20;35;39;ZZ;12;6er;               1;à;       3.113.259,80;5er + ZZ;               4;à;          28.092,10;5er;              94;à;           1.239,60;4er + ZZ;             225;à;             166,40;
10.03.;;;;;;;;;;4er;           4.442;à;              49,10;3er + ZZ;           5.510;à;              16,90;3er;          70.748;à;               5,30;ZZ;         221.355;à;               1,30;
13.03.;aufsteigend;2;5;7;14;38;41;ZZ;26;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;          81.958,10;5er;              64;à;           1.328,00;4er + ZZ;             202;à;             135,20;
13.03.;;;;;;;;;;4er;           3.061;à;              52,00;3er + ZZ;           4.612;à;              14,80;3er;          50.153;à;               5,40;ZZ;         148.922;à;               1,30;
17.03.;aufsteigend;5;13;32;35;36;40;ZZ;10;6er;JP;;         713.496,40;5er + ZZ;               2;à;          48.161,00;5er;              64;à;           1.560,70;4er + ZZ;             154;à;             208,40;
17.03.;;;;;;;;;;4er;           3.106;à;              60,30;3er + ZZ;           4.527;à;              17,70;3er;          52.439;à;               6,10;ZZ;         194.859;à;               1,30;
20.03.;aufsteigend;1;3;6;7;20;45;ZZ;28;6er;               2;à;         725.580,00;5er + ZZ;JP;;          99.584,50;5er;             149;à;             693,10;4er + ZZ;             296;à;             112,10;
20.03.;;;;;;;;;;4er;           5.422;à;              35,70;3er + ZZ;           6.313;à;              13,10;3er;          74.505;à;               4,40;ZZ;         176.128;à;               1,30;
24.03.;aufsteigend;1;2;7;11;23;41;ZZ;42;6er;JP;;         704.316,40;5er + ZZ;               1;à;         194.667,30;5er;              81;à;           1.217,30;4er + ZZ;             194;à;             163,30;
24.03.;;;;;;;;;;4er;           4.418;à;              41,80;3er + ZZ;           4.393;à;              18,00;3er;          66.314;à;               4,80;ZZ;         161.066;à;               1,30;
27.03.;aufsteigend;4;11;25;26;32;41;ZZ;36;6er;DJP;;       1.457.259,90;5er + ZZ;               3;à;          33.882,40;5er;              69;à;           1.527,70;4er + ZZ;             185;à;             183,10;
27.03.;;;;;;;;;;4er;           3.610;à;              54,70;3er + ZZ;           4.560;à;              18,50;3er;          59.383;à;               5,70;ZZ;         164.934;à;               1,30;
31.03.;aufsteigend;5;15;19;21;23;44;ZZ;36;6er;3JP;;       2.488.482,90;5er + ZZ;               4;à;          34.803,70;5er;             112;à;           1.289,00;4er + ZZ;             238;à;             194,90;
31.03.;;;;;;;;;;4er;           5.008;à;              54,00;3er + ZZ;           6.250;à;              18,50;3er;          86.340;à;               5,40;ZZ;         231.041;à;               1,30;
03.04.;aufsteigend;3;4;11;12;27;37;ZZ;25;6er;4JP;;       3.420.883,90;5er + ZZ;               2;à;          62.937,00;5er;             123;à;           1.061,20;4er + ZZ;             281;à;             149,30;
03.04.;;;;;;;;;;4er;           5.592;à;              43,70;3er + ZZ;           6.834;à;              15,30;3er;          88.274;à;               4,70;ZZ;         206.753;à;               1,30;
07.04.;aufsteigend;19;28;37;41;42;43;ZZ;6;6er;               1;à;       4.715.840,50;5er + ZZ;               3;à;          58.273,00;5er;             115;à;           1.576,40;4er + ZZ;             342;à;             170,30;
07.04.;;;;;;;;;;4er;           5.791;à;              58,60;3er + ZZ;           8.162;à;              17,80;3er;          98.315;à;               5,90;ZZ;         348.052;à;               1,30;
10.04.;aufsteigend;5;12;13;14;39;43;ZZ;16;6er;JP;;         618.137,00;5er + ZZ;               2;à;          41.724,20;5er;              73;à;           1.185,40;4er + ZZ;             143;à;             194,50;
10.04.;;;;;;;;;;4er;           2.872;à;              56,40;3er + ZZ;           3.944;à;              17,60;3er;          50.031;à;               5,50;ZZ;         152.399;à;               1,30;
12.04.;aufsteigend;4;8;16;18;27;35;ZZ;31;6er;DJP;;       1.248.595,30;5er + ZZ;               1;à;          85.111,80;5er;              97;à;             909,90;4er + ZZ;             204;à;             139,00;
12.04.;;;;;;;;;;4er;           3.840;à;              43,00;3er + ZZ;           4.318;à;              16,40;3er;          57.201;à;               4,90;ZZ;         138.450;à;               1,30;
14.04.;aufsteigend;9;15;19;26;31;45;ZZ;28;6er;3JP;;       1.948.313,90;5er + ZZ;               3;à;          31.487,30;5er;              86;à;           1.139,00;4er + ZZ;             204;à;             154,30;
14.04.;;;;;;;;;;4er;           3.493;à;              52,50;3er + ZZ;           4.778;à;              16,40;3er;          56.962;à;               5,50;ZZ;         174.119;à;               1,30;
17.04.;aufsteigend;14;17;18;28;37;44;ZZ;5;6er;4JP;;       2.895.503,80;5er + ZZ;               2;à;          63.935,30;5er;              82;à;           1.617,10;4er + ZZ;             236;à;             180,60;
17.04.;;;;;;;;;;4er;           4.478;à;              55,50;3er + ZZ;           6.483;à;              16,40;3er;          72.629;à;               5,90;ZZ;         260.924;à;               1,30;
21.04.;aufsteigend;7;9;11;14;15;42;ZZ;33;6er;5JP;;       4.180.927,90;5er + ZZ;               4;à;          43.383,00;5er;             131;à;           1.373,70;4er + ZZ;             324;à;             178,50;
21.04.;;;;;;;;;;4er;           6.473;à;              52,10;3er + ZZ;           8.664;à;              16,60;3er;         109.613;à;               5,30;ZZ;         304.713;à;               1,30;
24.04.;aufsteigend;3;23;24;34;35;45;ZZ;26;6er;6JP;;       5.647.287,40;5er + ZZ;               6;à;          32.993,00;5er;             151;à;           1.359,50;4er + ZZ;             378;à;             174,50;
24.04.;;;;;;;;;;4er;           6.830;à;              56,30;3er + ZZ;           9.871;à;              16,70;3er;         113.414;à;               5,80;ZZ;         364.313;à;               1,30;
28.04.;aufsteigend;4;9;30;38;41;44;ZZ;26;6er;               1;à;       7.535.657,60;5er + ZZ;               5;à;          50.985,90;5er;             203;à;           1.302,30;4er + ZZ;             496;à;             171,30;
