Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
18.08.;aufsteigend;1;10;12;37;44;45;ZZ;30;6er;3JP;;       2.543.364,40;5er + ZZ;               2;à;          62.260,60;5er;              84;à;           1.627,70;4er + ZZ;             221;à;             176,70;
18.08.;;;;;;;;;;4er;           4.227;à;              57,70;3er + ZZ;           5.712;à;              17,00;3er;          66.987;à;               6,20;ZZ;         196.835;à;               1,50;
21.08.;aufsteigend;4;17;18;24;26;39;ZZ;35;6er;4JP;;       3.684.002,40;5er + ZZ;               1;à;         138.506,00;5er;             124;à;           1.226,40;4er + ZZ;             250;à;             173,80;
21.08.;;;;;;;;;;4er;           5.000;à;              54,30;3er + ZZ;           6.402;à;              16,90;3er;          80.047;à;               5,80;ZZ;         212.328;à;               1,50;
25.08.;aufsteigend;2;4;27;29;34;35;ZZ;30;6er;               3;à;       1.732.889,10;5er + ZZ;               3;à;          61.307,80;5er;             127;à;           1.590,10;4er + ZZ;             317;à;             182,00;
25.08.;;;;;;;;;;4er;           5.891;à;              61,20;3er + ZZ;           7.562;à;              19,00;3er;          99.679;à;               6,10;ZZ;         298.480;à;               1,50;
28.08.;aufsteigend;5;9;16;20;39;45;ZZ;29;6er;               1;à;       1.200.000,00;5er + ZZ;JP;;          87.669,40;5er;              73;à;           1.318,60;4er + ZZ;             192;à;             143,20;
28.08.;;;;;;;;;;4er;           3.002;à;              57,20;3er + ZZ;           4.679;à;              14,60;3er;          50.300;à;               5,80;ZZ;         137.819;à;               1,50;
01.09.;aufsteigend;4;5;10;18;29;38;ZZ;41;6er;JP;;         884.744,00;5er + ZZ;               4;à;          48.775,60;5er;              76;à;           1.552,10;4er + ZZ;             180;à;             187,20;
01.09.;;;;;;;;;;4er;           3.953;à;              53,20;3er + ZZ;           4.541;à;              18,50;3er;          62.923;à;               5,70;ZZ;         162.583;à;               1,50;
04.09.;aufsteigend;1;14;15;23;31;42;ZZ;26;6er;DJP;;       1.762.419,40;5er + ZZ;               1;à;         106.574,80;5er;              74;à;           1.581,30;4er + ZZ;             158;à;             211,60;
04.09.;;;;;;;;;;4er;           3.177;à;              65,70;3er + ZZ;           4.464;à;              18,70;3er;          54.262;à;               6,50;ZZ;         186.112;à;               1,50;
08.09.;aufsteigend;2;9;11;12;19;29;ZZ;42;6er;3JP;;       2.908.537,30;5er + ZZ;               5;à;          27.834,20;5er;             212;à;             720,80;4er + ZZ;             316;à;             138,10;
08.09.;;;;;;;;;;4er;           7.101;à;              38,40;3er + ZZ;           6.309;à;              17,30;3er;          95.735;à;               4,80;ZZ;         214.813;à;               1,50;
11.09.;aufsteigend;2;8;11;12;23;40;ZZ;6;6er;4JP;;       4.112.231,30;5er + ZZ;               3;à;          48.720,90;5er;             134;à;           1.197,70;4er + ZZ;             370;à;             123,90;
11.09.;;;;;;;;;;4er;           6.149;à;              46,60;3er + ZZ;           9.018;à;              12,70;3er;          90.412;à;               5,40;ZZ;         245.565;à;               1,50;
13.09.;aufsteigend;2;3;11;20;30;42;ZZ;10;6er;5JP;;       5.290.419,10;5er + ZZ;               4;à;          35.766,40;5er;             112;à;           1.402,60;4er + ZZ;             347;à;             129,30;
13.09.;;;;;;;;;;4er;           5.168;à;              54,20;3er + ZZ;           8.326;à;              13,40;3er;          81.959;à;               5,80;ZZ;         240.947;à;               1,50;
15.09.;aufsteigend;1;2;3;4;20;26;ZZ;29;6er;6JP;;       6.536.316,70;5er + ZZ;               1;à;         151.287,50;5er;             132;à;           1.258,40;4er + ZZ;             288;à;             164,80;
15.09.;;;;;;;;;;4er;           7.485;à;              39,60;3er + ZZ;           7.303;à;              16,20;3er;          91.039;à;               5,50;ZZ;         239.428;à;               1,50;
18.09.;aufsteigend;1;16;17;18;31;44;ZZ;25;6er;7JP;;       8.492.148,80;5er + ZZ;               2;à;         118.746,90;5er;             125;à;           2.086,20;4er + ZZ;             377;à;             197,60;
18.09.;;;;;;;;;;4er;           7.259;à;              64,10;3er + ZZ;           9.909;à;              18,70;3er;         121.999;à;               6,50;ZZ;         378.760;à;               1,50;
22.09.;aufsteigend;15;19;32;37;39;40;ZZ;34;6er;               1;à;      11.152.282,90;5er + ZZ;               5;à;          64.603,20;5er;             189;à;           1.876,60;4er + ZZ;             592;à;             171,10;
22.09.;;;;;;;;;;4er;           9.863;à;              64,20;3er + ZZ;          14.197;à;              17,80;3er;         167.151;à;               6,40;ZZ;         516.307;à;               1,50;
25.09.;aufsteigend;2;7;18;20;24;37;ZZ;21;6er;JP;;         737.970,60;5er + ZZ;               2;à;          44.805,30;5er;              57;à;           1.726,20;4er + ZZ;             151;à;             186,10;
25.09.;;;;;;;;;;4er;           2.970;à;              59,10;3er + ZZ;           3.872;à;              18,10;3er;          48.804;à;               6,10;ZZ;         154.102;à;               1,50;
29.09.;aufsteigend;4;7;16;25;27;41;ZZ;38;6er;DJP;;       1.753.743,20;5er + ZZ;               1;à;         123.343,80;5er;             102;à;           1.327,80;4er + ZZ;             265;à;             146,00;
29.09.;;;;;;;;;;4er;           4.506;à;              53,60;3er + ZZ;           5.527;à;              17,50;3er;          72.974;à;               5,60;ZZ;         184.361;à;               1,50;
02.10.;aufsteigend;12;23;26;27;35;43;ZZ;38;6er;3JP;;       2.770.963,70;5er + ZZ;               1;à;         123.519,60;5er;              93;à;           1.458,30;4er + ZZ;             228;à;             169,90;
02.10.;;;;;;;;;;4er;           4.165;à;              58,10;3er + ZZ;           5.567;à;              17,40;3er;          69.852;à;               5,90;ZZ;         181.412;à;               1,50;
06.10.;aufsteigend;3;8;21;22;32;43;ZZ;12;6er;4JP;;       4.129.970,60;5er + ZZ;               3;à;          55.007,40;5er;             118;à;           1.535,60;4er + ZZ;             370;à;             139,90;
06.10.;;;;;;;;;;4er;           6.018;à;              53,70;3er + ZZ;           8.944;à;              14,40;3er;          95.140;à;               5,80;ZZ;         276.744;à;               1,50;
09.10.;aufsteigend;2;10;12;15;40;42;ZZ;16;6er;5JP;;       5.533.572,50;5er + ZZ;               3;à;          56.812,40;5er;             121;à;           1.546,60;4er + ZZ;             288;à;             185,60;
09.10.;;;;;;;;;;4er;           5.778;à;              57,80;3er + ZZ;           7.482;à;              17,80;3er;          96.009;à;               5,90;ZZ;         280.021;à;               1,50;
11.10.;aufsteigend;16;22;28;29;36;45;ZZ;26;6er;6JP;;       6.871.809,30;5er + ZZ;               4;à;          40.625,00;5er;             103;à;           1.732,30;4er + ZZ;             284;à;             179,50;
11.10.;;;;;;;;;;4er;           5.244;à;              60,70;3er + ZZ;           7.595;à;              16,70;3er;          86.942;à;               6,20;ZZ;         279.786;à;               1,50;
13.10.;aufsteigend;1;3;18;23;28;35;ZZ;33;6er;7JP;;       8.396.843,90;5er + ZZ;               6;à;          30.863,70;5er;             133;à;           1.528,80;4er + ZZ;             372;à;             156,10;
13.10.;;;;;;;;;;4er;           6.468;à;              56,10;3er + ZZ;           8.970;à;              16,10;3er;         103.696;à;               5,90;ZZ;         305.879;à;               1,50;
16.10.;aufsteigend;3;12;30;41;42;45;ZZ;33;6er;               1;à;      10.887.160,80;5er + ZZ;               4;à;          75.598,90;5er;             179;à;           1.854,90;4er + ZZ;             593;à;             159,90;
16.10.;;;;;;;;;;4er;           9.655;à;              61,40;3er + ZZ;          13.552;à;              17,50;3er;         160.891;à;               6,30;ZZ;         503.946;à;               1,50;
20.10.;aufsteigend;4;6;15;35;41;43;ZZ;40;6er;JP;;         897.467,40;5er + ZZ;               4;à;          27.244,50;5er;              52;à;           2.301,10;4er + ZZ;             147;à;             232,50;
20.10.;;;;;;;;;;4er;           3.213;à;              66,50;3er + ZZ;           4.101;à;              20,80;3er;          54.526;à;               6,70;ZZ;         170.193;à;               1,50;
23.10.;aufsteigend;12;17;22;27;36;40;ZZ;14;6er;DJP;;       1.785.420,50;5er + ZZ;               1;à;         107.822,80;5er;              85;à;           1.392,80;4er + ZZ;             206;à;             164,20;
23.10.;;;;;;;;;;4er;           3.996;à;              52,90;3er + ZZ;           4.929;à;              17,10;3er;          59.490;à;               6,00;ZZ;         171.393;à;               1,50;
27.10.;aufsteigend;10;22;25;27;32;40;ZZ;15;6er;               1;à;       2.867.162,60;5er + ZZ;               4;à;          32.838,50;5er;              88;à;           1.639,00;4er + ZZ;             250;à;             164,80;
27.10.;;;;;;;;;;4er;           4.261;à;              60,40;3er + ZZ;           6.333;à;              16,20;3er;          72.106;à;               6,10;ZZ;         209.868;à;               1,50;
30.10.;aufsteigend;7;8;29;36;39;40;ZZ;6;6er;JP;;         772.809,10;5er + ZZ;               3;à;          31.280,30;5er;              68;à;           1.515,30;4er + ZZ;             150;à;             196,20;
30.10.;;;;;;;;;;4er;           2.755;à;              66,70;3er + ZZ;           3.982;à;              18,40;3er;          49.699;à;               6,30;ZZ;         169.557;à;               1,50;
03.11.;aufsteigend;12;16;18;19;27;44;ZZ;6;6er;               1;à;       1.785.560,10;5er + ZZ;               2;à;          61.488,40;5er;              85;à;           1.588,60;4er + ZZ;             260;à;             148,30;
03.11.;;;;;;;;;;4er;           3.991;à;              60,40;3er + ZZ;           6.713;à;              14,30;3er;          66.933;à;               6,10;ZZ;         208.230;à;               1,50;
06.11.;aufsteigend;9;12;23;26;30;44;ZZ;41;6er;JP;;         757.360,30;5er + ZZ;               2;à;          45.982,50;5er;              60;à;           1.683,00;4er + ZZ;             170;à;             169,70;
06.11.;;;;;;;;;;4er;           3.357;à;              53,70;3er + ZZ;           3.883;à;              18,50;3er;          53.814;à;               5,70;ZZ;         135.525;à;               1,50;
08.11.;aufsteigend;3;6;18;25;40;43;ZZ;12;6er;DJP;;       1.545.786,10;5er + ZZ;               4;à;          23.934,30;5er;              75;à;           1.401,60;4er + ZZ;             177;à;             169,60;
08.11.;;;;;;;;;;4er;           3.178;à;              59,00;3er + ZZ;           5.062;à;              14,80;3er;          51.802;à;               6,10;ZZ;         166.297;à;               1,50;
10.11.;aufsteigend;8;11;14;28;32;36;ZZ;34;6er;3JP;;       2.413.735,70;5er + ZZ;               1;à;         105.393,80;5er;              78;à;           1.483,60;4er + ZZ;             188;à;             175,80;
10.11.;;;;;;;;;;4er;           3.880;à;              53,20;3er + ZZ;           4.624;à;              17,80;3er;          59.432;à;               5,90;ZZ;         159.187;à;               1,50;
13.11.;aufsteigend;10;17;20;21;24;36;ZZ;19;6er;4JP;;       3.549.022,40;5er + ZZ;               2;à;          68.928,10;5er;              92;à;           1.645,30;4er + ZZ;             213;à;             203,00;
13.11.;;;;;;;;;;4er;           4.614;à;              58,50;3er + ZZ;           6.213;à;              17,40;3er;          77.128;à;               5,90;ZZ;         235.560;à;               1,50;
17.11.;aufsteigend;7;8;11;16;26;40;ZZ;44;6er;               1;à;       5.075.162,60;5er + ZZ;               6;à;          30.886,10;5er;             156;à;           1.304,30;4er + ZZ;             377;à;             154,20;
17.11.;;;;;;;;;;4er;           7.464;à;              48,60;3er + ZZ;           8.739;à;              16,60;3er;         115.911;à;               5,30;ZZ;         280.293;à;               1,50;
20.11.;aufsteigend;7;8;9;41;42;45;ZZ;30;6er;JP;;         741.315,30;5er + ZZ;               2;à;          45.008,40;5er;              73;à;           1.354,00;4er + ZZ;             168;à;             168,00;
20.11.;;;;;;;;;;4er;           2.839;à;              62,10;3er + ZZ;           3.777;à;              18,60;3er;          48.161;à;               6,20;ZZ;         139.139;à;               1,50;
24.11.;aufsteigend;8;11;30;31;33;37;ZZ;6;6er;DJP;;       1.753.594,70;5er + ZZ;               3;à;          40.973,20;5er;              81;à;           1.666,30;4er + ZZ;             205;à;             188,10;
24.11.;;;;;;;;;;4er;           3.934;à;              61,20;3er + ZZ;           5.523;à;              17,40;3er;          65.298;à;               6,30;ZZ;         216.943;à;               1,50;
27.11.;aufsteigend;1;2;8;16;41;42;ZZ;18;6er;3JP;;       2.764.073,40;5er + ZZ;               5;à;          24.540,10;5er;              73;à;           1.845,60;4er + ZZ;             208;à;             185,00;
27.11.;;;;;;;;;;4er;           3.929;à;              61,20;3er + ZZ;           5.267;à;              18,20;3er;          66.290;à;               6,20;ZZ;         195.473;à;               1,50;
01.12.;aufsteigend;3;4;7;8;35;41;ZZ;29;6er;4JP;;       4.158.515,50;5er + ZZ;               3;à;          56.441,70;5er;             121;à;           1.536,50;4er + ZZ;             326;à;             162,90;
01.12.;;;;;;;;;;4er;           5.932;à;              55,90;3er + ZZ;           8.057;à;              16,40;3er;          98.388;à;               5,70;ZZ;         270.189;à;               1,50;
04.12.;aufsteigend;14;17;27;28;36;44;ZZ;24;6er;5JP;;       5.614.831,70;5er + ZZ;               5;à;          35.367,60;5er;             164;à;           1.183,90;4er + ZZ;             333;à;             166,60;
04.12.;;;;;;;;;;4er;           6.348;à;              54,60;3er + ZZ;           8.115;à;              17,00;3er;          99.324;à;               5,90;ZZ;         290.550;à;               1,50;
08.12.;aufsteigend;9;19;31;33;34;36;ZZ;5;6er;6JP;;       7.500.529,10;5er + ZZ;               3;à;          76.325,80;5er;             133;à;           1.890,40;4er + ZZ;             409;à;             175,60;
08.12.;;;;;;;;;;4er;           7.842;à;              57,20;3er + ZZ;          10.475;à;              17,10;3er;         120.988;à;               6,30;ZZ;         416.745;à;               1,50;
11.12.;aufsteigend;13;17;26;34;39;42;ZZ;6;6er;               1;à;       9.625.763,10;5er + ZZ;               3;à;          86.021,30;5er;             228;à;           1.242,80;4er + ZZ;             548;à;             147,70;
11.12.;;;;;;;;;;4er;           9.775;à;              51,70;3er + ZZ;          12.384;à;              16,30;3er;         145.617;à;               5,90;ZZ;         455.287;à;               1,50;
15.12.;aufsteigend;4;5;41;42;44;45;ZZ;6;6er;               1;à;       1.200.000,00;5er + ZZ;               4;à;          28.604,50;5er;              88;à;           1.427,60;4er + ZZ;             233;à;             154,00;
15.12.;;;;;;;;;;4er;           4.483;à;              50,00;3er + ZZ;           4.799;à;              18,60;3er;          56.485;à;               6,70;ZZ;         210.676;à;               1,50;
18.12.;aufsteigend;1;7;25;27;32;34;ZZ;13;6er;JP;;         796.903,50;5er + ZZ;               4;à;          24.191,70;5er;              42;à;           2.529,80;4er + ZZ;             171;à;             177,50;
18.12.;;;;;;;;;;4er;           2.878;à;              65,90;3er + ZZ;           4.827;à;              15,70;3er;          51.106;à;               6,30;ZZ;         155.754;à;               1,50;
22.12.;aufsteigend;3;25;30;34;41;44;ZZ;17;6er;               2;à;         955.593,30;5er + ZZ;               4;à;          33.826,40;5er;              76;à;           1.954,80;4er + ZZ;             291;à;             145,80;
22.12.;;;;;;;;;;4er;           3.999;à;              66,30;3er + ZZ;           6.297;à;              16,80;3er;          66.966;à;               6,70;ZZ;         238.538;à;               1,50;
25.12.;aufsteigend;9;15;20;24;26;34;ZZ;31;6er;               2;à;         600.000,00;5er + ZZ;               2;à;          51.843,00;5er;              71;à;           1.603,50;4er + ZZ;             177;à;             183,70;
25.12.;;;;;;;;;;4er;           3.562;à;              57,00;3er + ZZ;           4.288;à;              18,90;3er;          58.302;à;               5,90;ZZ;         157.247;à;               1,50;
29.12.;aufsteigend;14;17;20;35;39;45;ZZ;43;6er;JP;;         867.140,90;5er + ZZ;               2;à;          52.647,80;5er;              75;à;           1.541,50;4er + ZZ;             179;à;             184,50;
29.12.;;;;;;;;;;4er;           3.274;à;              63,00;3er + ZZ;           4.561;à;              18,10;3er;          54.394;à;               6,40;ZZ;         161.027;à;               1,50;
