date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2022-03-04,78587957,12700081,True,1,6 20 40 42 43 10 12
2022-03-18,26825597,-13205107,True,2,1 9 14 17 43 6 12
2022-05-10,215840341,20413603,True,1,3 25 27 28 29 4 9
2022-05-24,50656220,10295015,True,1,10 13 27 36 37 2 10
2022-06-10,64382899,13957808,True,1,17 26 36 37 40 9 12
2022-07-19,230000000,0,True,1,6 23 27 40 41 2 12
2022-07-29,41717625,14239103,True,1,3 23 38 43 48 3 8
2022-09-02,128491607,15582388,True,1,7 12 13 20 45 3 12
2022-09-23,193007524,18614093,True,1,14 15 22 35 48 3 8
2022-11-04,160788895,18424069,True,1,2 11 37 45 47 2 3
2022-12-06,142897164,12897164,True,1,12 20 25 26 27 8 12
2022-12-20,51605931,10991937,True,1,1 11 17 20 27 4 5
2022-12-27,26956990,9956990,True,1,19 31 33 34 43 3 5
2023-01-13,68825114,17466900,True,1,4 13 25 33 37 5 10
2023-01-31,66081021,11654888,True,1,7 12 19 33 43 3 7
2023-02-24,102242065,14369697,True,1,7 23 34 42 48 1 3
2023-03-07,144966361,14966361,True,1,11 13 24 35 50 6 11
2023-03-24,66287741,14534924,True,1,5 12 25 36 46 6 10
2023-05-05,53041075,-88316998,True,3,3 8 18 34 49 3 7
2023-06-02,130000000,42933618,True,1,3 12 15 25 43 10 11
2023-06-20,64343648,10648377,True,1,11 17 28 32 35 5 6
2023-07-11,36621161,-27198471,True,2,2 11 28 42 48 4 9
2023-08-01,72144196,9431870,True,1,25 27 35 40 45 7 11
2023-09-01,109268140,15136008,True,1,4 5 35 37 43 5 6
2023-09-15,27475869,-12273557,True,2,12 14 21 45 48 8 11
2023-09-29,130000000,89889719,True,1,9 11 13 21 32 2 7
2023-10-17,67318140,10660837,True,1,10 17 20 35 40 3 4
2023-10-24,26274769,9274769,True,1,8 16 18 31 34 6 9
2023-10-27,17000000,-9274769,True,1,29 33 35 48 49 3 8
2023-11-03,31218086,14218086,True,1,8 21 31 39 47 5 9
2023-11-28,83068817,9379640,True,1,12 16 27 33 44 7 8
2023-12-08,240000000,21140913,True,1,17 30 42 48 50 4 8
2023-12-22,55662868,15194641,True,1,6 14 34 44 49 4 12
2024-01-16,87952574,9719705,True,1,10 18 21 33 45 8 12
2024-01-19,17000000,-70952574,True,1,27 28 44 48 50 7 12
2024-01-30,72274808,-57725192,True,2,5 10 19 27 30 5 6
2024-02-20,73448160,9242373,True,1,23 31 37 42 48 3 7
2024-03-15,130000000,57094379,True,1,1 4 31 34 40 4 5
2024-04-30,166790050,14759437,True,1,13 22 24 33 47 1 5
2024-05-14,48748900,10013410,True,1,2 8 17 28 35 7 9
2024-06-25,213887390,18165924,True,1,14 16 37 45 49 5 7
2024-07-05,39132032,12597505,True,1,11 13 29 31 47 1 11
2024-07-19,26181999,-12385424,True,2,15 22 35 44 48 6 7
2024-07-26,28649442,11649442,True,1,4 19 23 35 37 4 8
2024-09-06,149017789,16570075,True,1,12 14 34 41 47 3 4
2024-10-04,162256512,18286914,True,1,4 8 16 17 20 1 6
2024-11-26,212448937,17779805,True,1,7 11 25 31 40 9 12
2024-12-17,77557137,9704629,True,1,1 3 4 21 29 2 7
2024-12-27,41205363,12451328,True,1,12 22 27 33 45 4 8
2025-01-24,99397573,13449477,True,1,2 11 19 30 49 3 8
2025-02-14,78450739,14228106,True,1,4 14 31 36 38 3 10
2025-02-28,52448674,13529220,True,1,7 16 31 43 46 5 9
2025-03-28,250000000,29572824,True,1,10 21 30 42 45 1 9
2025-04-04,30117535,13117535,True,1,27 39 41 45 50 5 7
2025-06-17,250000000,0,True,1,13 22 23 44 49 3 5
2025-08-19,250000000,17825197,True,1,24 31 34 41 43 6 8
2025-09-05,65278573,14251580,True,1,27 30 31 41 43 5 8
2025-09-26,130000000,65823550,True,1,4 17 25 28 44 5 11
2025-10-03,29922038,12922038,True,1,6 12 18 25 41 2 6
2025-10-10,29671390,12671390,True,1,6 7 17 20 21 1 10
2025-11-28,178656733,16522321,True,1,5 29 33 39 42 3 9
2025-12-09,142433804,12433804,True,1,2 8 13 29 49 2 11
2025-12-12,17000000,-125433804,True,1,7 25 30 37 41 5 11
2025-12-26,54026007,12594008,True,1,12 22 32 36 48 3 4
2026-01-30,123555827,13955918,True,1,14 18 31 35 46 7 11
2026-03-10,209527211,16629096,True,1,12 14 27 44 50 4 12
2026-04-21,48175066,-84106129,True,3,13 16 29 40 47 3 4
