date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2019-05-12,500000,-1073250,True,2,7 12 20 33 38 41 23
2019-05-15,1000000,500000,True,1,4 5 12 24 26 27 45
2019-05-22,736775,30008,True,2,19 26 28 35 38 43 18
2019-05-26,1000000,263225,True,1,3 5 9 11 28 31 44
2019-06-09,3466008,1159483,True,1,3 16 17 24 26 41 42
2019-06-12,1000000,-2466008,True,1,3 8 11 15 18 43 33
2019-06-16,1000000,0,True,1,3 15 25 35 37 45 34
2019-06-23,1422367,800295,True,1,6 9 10 24 40 44 21
2019-06-26,333333,-1089034,True,3,6 13 17 28 32 42 29
2019-07-10,3523017,1090139,True,1,5 28 30 35 36 45 25
2019-07-21,1258116,-241261,True,2,7 13 17 20 42 45 5
2019-07-28,491217,-119202,True,3,3 7 9 13 26 39 8
2019-08-11,1761322,-599703,True,2,5 14 21 28 32 42 35
2019-08-14,1000000,-761322,True,1,1 6 7 20 28 35 33
2019-09-01,4991197,1461770,True,1,2 16 27 35 39 45 5
2019-09-22,2345548,-2803218,True,3,3 14 23 25 32 41 26
2019-09-25,1000000,-1345548,True,1,5 14 21 26 29 38 13
2019-10-02,1527972,792360,True,1,11 15 16 17 22 24 27
2019-10-09,1536261,794231,True,1,3 6 16 28 33 42 39
2019-10-16,1484453,772142,True,1,3 4 25 36 40 45 18
2019-10-27,2365785,897976,True,1,9 26 28 32 35 43 25
2019-11-17,6552614,1729351,True,1,2 15 23 28 33 34 19
2019-11-24,1527069,887605,True,1,3 9 15 18 26 29 28
2019-11-27,1000000,-527069,True,1,2 7 17 23 39 43 18
2019-12-11,3697632,1106299,True,1,2 8 18 26 35 43 40
2019-12-15,1000000,-2697632,True,1,8 11 16 33 38 45 42
2020-01-01,5100702,1346317,True,1,5 8 19 23 36 39 3
2020-01-15,3743596,1138178,True,1,9 11 16 26 31 41 34
2020-01-29,1852209,-734406,True,2,3 11 23 29 39 44 28
2020-02-02,1000000,-852209,True,1,6 7 9 20 28 30 40
2020-02-26,3067178,-3754053,True,3,3 6 11 16 25 43 1
2020-03-01,1000000,-2067178,True,1,11 14 20 37 38 41 13
2020-03-04,1000000,0,True,1,4 10 12 31 34 44 32
2020-03-08,500000,-500000,True,2,3 10 13 18 26 36 9
2020-03-18,2931988,774027,True,1,5 9 20 21 26 42 27
2020-03-29,2064553,821938,True,1,3 4 6 30 36 39 5
2020-04-22,7749269,2003829,True,1,3 11 12 23 28 38 2
2020-05-03,1260846,-256983,True,2,10 14 21 32 34 45 11
2020-05-10,1585772,929247,True,1,7 13 27 31 32 44 10
2020-05-17,1563365,921372,True,1,3 7 11 18 22 34 35
2020-05-20,1000000,-563365,True,1,4 13 14 24 27 31 22
2020-05-31,2524333,1049559,True,1,21 25 26 28 34 40 17
2020-06-03,500000,-2024333,True,2,4 9 10 13 18 31 36
2020-06-07,1000000,500000,True,1,1 12 20 36 41 42 22
2020-06-10,1000000,0,True,1,8 11 18 24 27 37 45
2020-06-17,1499154,803493,True,1,3 11 12 16 28 39 43
2020-06-28,1641680,-492426,True,2,10 16 28 31 36 37 33
2020-07-05,1529890,899516,True,1,1 3 5 6 35 42 9
2020-07-22,5014263,1352666,True,1,3 6 9 22 24 38 20
2020-07-29,1519795,780312,True,1,23 24 31 35 36 42 14
2020-08-16,2500168,-1151248,True,2,5 26 31 32 37 41 23
2020-08-23,1539386,886636,True,1,3 12 19 26 32 40 24
2020-08-30,1507513,893357,True,1,17 22 27 35 36 39 21
2020-09-20,6700911,1734695,True,1,5 6 14 19 26 30 11
2020-09-23,500000,-6200911,True,2,4 8 11 21 39 45 14
2020-10-04,2573740,1040416,True,1,10 14 16 27 30 40 38
2020-10-07,1000000,-1573740,True,1,3 7 9 13 17 26 18
2020-10-11,1000000,0,True,1,5 16 18 24 34 42 20
2020-10-18,765055,144973,True,2,10 15 22 35 43 45 2
2020-10-21,1000000,234945,True,1,3 11 19 25 28 38 34
2020-10-28,1446969,720423,True,1,4 8 10 15 18 35 42
2020-11-01,1000000,-446969,True,1,1 4 5 8 28 29 39
2020-11-18,3047867,-1480341,True,2,7 16 25 30 33 39 26
2020-11-22,500000,-2547867,True,2,18 22 36 40 42 45 2
2020-11-25,1000000,500000,True,1,10 13 15 26 33 39 35
2020-12-02,1581235,831578,True,1,11 14 24 27 28 34 23
2020-12-27,9165954,1779001,True,1,16 18 19 24 28 32 42
2021-01-03,1799701,967994,True,1,4 5 12 16 26 40 39
2021-01-10,2457106,886222,True,1,4 5 8 18 29 34 23
2021-02-03,5001911,-2377452,True,2,12 22 23 26 32 34 14
2021-02-21,3420048,-1605128,True,2,10 21 26 35 40 45 14
2021-02-24,1000000,-2420048,True,1,7 11 19 27 41 45 33
2021-03-07,2843304,1123812,True,1,11 14 15 18 25 32 36
2021-03-21,2408196,-959448,True,2,8 26 35 39 40 45 21
2021-04-04,3838710,1266033,True,1,11 18 30 31 44 45 3
2021-04-14,3224057,1050468,True,1,3 4 6 12 40 43 45
2021-04-25,1321686,-286515,True,2,9 11 13 14 37 38 26
2021-04-28,1000000,-321686,True,1,9 11 12 14 24 26 22
2021-05-16,2855026,-1768045,True,2,5 6 8 16 22 42 10
2021-05-23,773311,137577,True,2,1 17 20 32 35 36 19
2021-05-26,500000,-273311,True,2,6 8 11 17 21 33 2
2021-05-30,1000000,500000,True,1,4 10 17 28 42 44 14
2021-06-02,1000000,0,True,1,10 12 23 26 32 40 16
2021-06-06,1000000,0,True,1,24 27 29 32 35 45 6
2021-06-13,734228,120535,True,2,1 4 5 13 16 20 3
2021-06-23,1128951,-298985,True,2,4 5 10 36 42 45 19
2021-07-04,2421629,981910,True,1,7 13 23 33 35 40 5
2021-07-07,1000000,-1421629,True,1,2 5 7 12 25 32 19
2021-07-11,1204870,640241,True,1,1 8 13 23 30 40 12
2021-07-21,2255820,850264,True,1,7 12 28 31 35 40 19
2021-07-28,735793,23011,True,2,5 8 9 19 25 37 16
2021-08-08,1233821,-265178,True,2,3 17 27 30 40 41 19
2021-08-15,989064,-284500,True,2,5 20 21 28 33 35 39
2021-08-25,2272060,865567,True,1,3 15 24 29 40 45 20
2021-09-10,4395157,928018,True,1,1 10 11 30 34 41 28
2021-09-19,2447238,972111,True,1,3 6 8 24 26 27 2
2021-09-29,2302627,862376,True,1,6 16 29 31 33 39 30
2021-10-17,1900397,-2289159,True,3,5 8 10 20 24 28 40
2021-11-07,3032402,-1518258,True,2,2 7 13 26 29 42 33
2021-11-24,2801011,-1466065,True,2,17 24 26 29 30 35 32
2021-12-05,2604958,1042179,True,1,9 10 16 21 28 31 17
2021-12-19,3607960,1161032,True,1,5 9 11 16 23 35 19
2021-12-22,1000000,-2607960,True,1,4 10 16 18 25 32 2
2021-12-26,1000000,0,True,1,15 18 19 26 35 36 11
2022-01-02,817096,127499,True,2,11 19 20 30 34 38 25
2022-01-14,3264949,841070,True,1,6 14 20 29 34 41 11
2022-01-30,2460412,-1086615,True,2,11 14 34 37 39 40 42
2022-02-13,4240390,949368,True,1,13 17 23 26 35 37 5
2022-02-27,1765837,-622829,True,2,1 10 23 25 35 39 5
2022-03-06,1521433,886155,True,1,11 22 24 29 39 40 9
2022-03-16,1440420,-521450,True,2,2 22 26 27 28 43 40
2022-03-30,3289627,948452,True,1,5 12 23 24 25 40 7
2022-04-03,1000000,-2289627,True,1,3 17 26 33 41 45 4
2022-04-27,9802237,2717531,True,1,8 9 28 34 40 43 32
2022-05-11,3495116,996082,True,1,4 15 22 29 32 42 28
2022-05-13,500000,-2995116,True,2,3 6 11 25 33 45 23
2022-05-15,500000,0,True,2,4 11 13 20 29 45 12
2022-05-29,3147826,932549,True,1,5 12 20 40 41 45 10
2022-06-05,1444402,839591,True,1,32 34 36 37 38 43 28
2022-06-26,5629282,1342245,True,1,1 11 17 18 19 43 26
2022-07-06,1138065,-292861,True,2,11 12 15 18 33 43 38
2022-07-10,1191741,615489,True,1,9 12 24 25 28 45 16
2022-07-20,2178668,798788,True,1,14 18 31 33 37 42 27
2022-08-07,2214992,-1018011,True,2,1 16 30 31 37 42 25
2022-08-10,1000000,-1214992,True,1,7 17 19 22 33 40 20
2022-08-21,2854087,997999,True,1,14 16 24 26 40 44 35
2022-09-07,4350917,1136419,True,1,3 14 17 24 35 44 7
2022-09-11,1000000,-3350917,True,1,7 9 12 14 23 27 34
2022-09-25,3957042,1168471,True,1,9 10 12 33 42 43 23
2022-10-14,5515341,1074092,True,1,3 10 24 29 39 41 42
2022-10-26,3257978,883018,True,1,9 22 25 34 37 45 3
2022-11-06,1224346,-233217,True,2,2 4 15 30 32 34 43
2022-11-16,1457977,-526628,True,2,4 5 8 22 37 38 9
2022-11-20,1000000,-457977,True,1,1 11 16 20 35 45 41
2022-12-18,5199031,-2511332,True,2,5 11 27 28 39 44 36
2023-01-08,6694017,1493406,True,1,4 6 19 25 39 42 17
2023-01-22,2224097,-967273,True,2,4 12 24 32 36 38 21
2023-01-29,1510288,874631,True,1,14 25 34 36 38 42 7
2023-02-01,1000000,-510288,True,1,8 10 17 22 35 37 12
2023-02-05,1000000,0,True,1,9 12 24 26 31 33 30
2023-02-22,5554906,1313792,True,1,2 10 14 32 35 43 20
2023-03-15,2391218,-3133927,True,3,10 13 20 23 39 44 40
2023-03-26,2459785,954913,True,1,14 19 21 29 34 35 38
2023-04-02,1488382,875851,True,1,17 20 24 25 29 30 3
2023-04-09,1525593,895442,True,1,10 15 20 27 42 44 37
2023-04-16,1961706,723807,True,1,7 13 17 37 38 39 34
2023-04-30,1109738,-1110047,True,3,7 8 10 18 36 38 44
