date,jackpot_eur,jackpot_won,jackpot_winners,source
2017-10-04,1827744,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-08,3057935,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-11,4368975,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-15,6122295,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-18,8363617,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-22,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-25,736891,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-10-29,1680225,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-01,692084,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-05,1761961,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-08,2843645,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-12,843518,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-15,594988,1,3,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-19,833446,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-22,1757806,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-26,2908974,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-11-29,4174727,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-03,838999,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-06,1790119,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-10,2881657,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-13,4191061,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-17,5836617,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-20,8050489,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-24,6118478,1,2,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-27,710195,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-12-31,2113645,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2018-01-03,742274,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-07,1790819,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-10,976535,1,3,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-14,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-17,743122,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-21,1781497,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-24,2831804,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-28,818009,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-01-31,887519,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-04,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-07,702179,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-11,1711967,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-14,684258,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-18,1681427,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-21,672696,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-25,1645198,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-02-28,2639487,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-04,3972885,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-07,702887,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-11,1726220,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-14,2745774,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-18,4105602,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-21,2812630,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-25,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-03-28,668063,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-01,1716066,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-04,2644901,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-08,3938155,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-11,2697294,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-15,804984,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-18,1677849,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-22,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-25,632753,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-04-29,1547435,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-02,2480992,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-06,771072,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-09,1648077,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-13,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-16,664349,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-20,1598011,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-23,2473400,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-27,3686827,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-05-30,2559318,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-03,748379,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-06,1604010,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-10,776017,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-13,1618145,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-17,2694434,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-20,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-24,745601,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-06-27,1561455,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-01,1324911,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-04,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-08,770801,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-11,1611267,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-15,2687466,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-18,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-22,500000,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-25,611501,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-07-29,1490151,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-01,2416134,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-05,724552,1,5,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-08,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-12,723807,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-15,1463395,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-19,2491463,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-22,615304,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-26,1511801,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-08-29,2434453,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-02,3705922,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-05,5148933,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-09,7174599,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-12,5132100,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-16,797264,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-19,1670352,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-23,770556,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-26,1605171,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-09-30,2684673,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-03,1944705,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-07,777847,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-10,1656789,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-14,2738589,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-17,3905735,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-21,757347,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
